,,shift,3.894646498,TCTemp3
17.406,18.92346249,20.16802978,20.17031906,24.06496556
17.507,18.94421065,19.95609997,19.69435859,23.58900509
17.608,18.98257557,19.84623445,20.88221882,24.77686532
17.706,18.93413935,20.10798014,21.57261683,25.46726333
17.807,18.91437941,19.93536086,20.41729007,24.31193657
17.908,18.9219367,19.80879933,19.77195803,23.66660452
18.007,18.94838772,19.91838602,20.62475732,24.51940382
18.107,18.9554909,20.01893707,21.11033662,25.00498312
18.208,18.95364177,20.08103392,21.25272727,25.14737377
18.307,18.95297033,19.93589387,20.92300912,24.81765561
18.408,18.92570893,19.98476952,19.85520917,23.74985567
18.506,18.98839827,19.99568785,20.72544044,24.62008694
18.607,18.9308601,19.71540992,21.03882778,24.93347428
18.707,18.9887858,19.97736728,20.18791775,24.08256424
18.808,18.98952563,20.28558797,21.01793209,24.91257859
18.906,18.97276977,20.13352483,21.38495508,25.27960157
19.007,19.00489713,19.95524414,20.9777484,24.8723949
19.108,18.95942972,19.83676879,20.63795887,24.53260537
19.206,18.97052095,19.92497232,20.73005988,24.62470638
19.307,19.01449993,20.40751383,21.1560072,25.0506537
19.408,19.01149244,20.36560603,20.65938596,24.55403246
19.508,19.03106539,19.92231296,20.52818914,24.42283564
19.606,19.02392222,20.03957813,21.05393748,24.94858397
19.707,18.96187564,20.20219926,20.88348285,24.77812934
19.807,19.05494315,20.20713487,20.57658066,24.47122716
19.908,19.04309038,20.10257114,21.09194546,24.98659196
20.008,19.05045027,20.02576788,21.51785926,25.41250575
20.111,19.0576445,20.10299871,21.513854,25.40850049
20.207,19.02814937,20.00434567,20.99538928,24.89003578
20.308,19.01976279,20.04713804,19.51856094,23.41320744
20.406,19.09609006,20.14632291,20.31503743,24.20968392
20.507,19.1032578,20.00765825,21.94217481,25.83682131
20.608,19.09257029,19.99881991,20.63423368,24.52888018
20.706,19.04338627,20.08247866,19.25040884,23.14505534
20.806,19.01639809,20.04908714,19.443827,23.3384735
20.907,19.03403214,20.07191755,20.16642708,24.06107358
21.008,19.0320739,20.2346787,20.80299261,24.69763911
21.17,19.05019424,19.95616455,20.56081244,24.45545894
21.207,19.06125437,20.0682237,20.83515988,24.72980638
21.307,19.02338111,20.16102109,20.5256726,24.4203191
21.408,19.03699801,19.67078656,20.04204271,23.93668921
21.507,19.02441012,19.67513149,20.68437847,24.57902497
21.608,19.00770723,20.01025308,20.96029744,24.85494394
21.707,19.02214329,20.16299054,20.41271763,24.30736413
21.807,19.03401105,19.89410757,20.35954445,24.25419094
21.906,19.05025449,19.66356384,20.19988729,24.09453379
22.008,18.9834602,19.81417595,19.90302149,23.79766799
22.108,19.03024088,19.97826329,21.26930663,25.16395313
22.206,19.03089964,19.9796571,21.01618337,24.91082987
22.306,19.00594993,20.11585656,19.97429224,23.86893874
22.407,19.02683499,19.99094462,21.04207609,24.93672259
22.507,19.0106487,19.88022795,21.23622587,25.13087237
22.606,19.03019511,19.96470506,20.38093145,24.27557794
22.708,19.00426725,19.95716443,20.00798279,23.90262928
22.807,19.01191957,19.88945857,21.18786227,25.08250877
22.908,18.99537125,20.17843418,21.8535526,25.7481991
23.006,18.97168853,20.05701052,20.5327387,24.4273852
23.107,18.97507245,19.88545571,20.0610151,23.9556616
23.207,18.97315279,20.1892891,20.94816983,24.84281633
23.307,19.01839538,20.23542735,21.42062923,25.31527573
23.406,18.98814588,20.09058196,21.50112939,25.39577589
23.507,19.0173771,19.97371774,21.3953774,25.2900239
23.608,18.98628927,20.00711028,20.86690396,24.76155046
23.707,19.0309046,20.03653773,20.97818618,24.87283268
23.806,18.99904273,19.78550586,21.40902326,25.30366976
23.907,18.99978851,20.01595989,20.2289263,24.12357279
24.007,18.99740573,20.42596863,21.0586408,24.9532873
24.107,19.02138528,20.10861344,21.43963823,25.33428473
24.208,19.00459621,19.81220598,19.79862564,23.69327214
24.308,18.98152282,20.04941218,20.3059416,24.2005881
24.407,19.0085295,20.18514729,20.66144002,24.55608652
24.507,19.00813781,20.3456087,20.89586054,24.79050704
24.617,19.00921172,20.27500726,20.75087377,24.64552027
24.708,19.0562767,19.862446,20.19909012,24.09373662
24.807,19.02871468,20.10725934,21.27390096,25.16854746
24.907,18.97144187,19.86945366,20.6504523,24.5450988
25.008,18.9981667,19.83753291,20.27420454,24.16885104
25.108,18.98818486,20.21164908,21.6681455,25.562792
25.206,18.96970626,19.7549182,21.52587549,25.42052199
25.307,18.97181743,20.01992003,20.81790619,24.71255269
25.408,18.94377055,20.04453674,20.20019138,24.09483787
25.507,18.90927875,19.88412278,19.44717159,23.34181809
25.607,19.0151437,20.14974248,20.84242041,24.73706691
25.708,18.96602389,19.88231995,22.03251712,25.92716362
25.807,18.96444018,19.82993526,19.9839763,23.8786228
25.908,18.92157013,20.04802793,19.67629207,23.57093857
